Negative offset of 08-1696 (time: 4:39, m?: false) (scrape: 159, official: 141): -18
Positive offset of 08-1447 (time: 3:44, m?: false) (scrape: 34, official: 42): 8
Positive offset of 08-1695 (time: 4:37, m?: false) (scrape: 133, official: 167): 34
Positive offset of 08-1127 (time: 6:01, m?: false) (scrape: 42, official: 50): 8
Positive offset of 08-0379 (time: 2:00, m?: false) (scrape: 50, official: 58): 8
Negative offset of 08-0713 (time: 5:56, m?: false) (scrape: 162, official: 119): -43
Positive offset of 08-1699 (time: 5:46, m?: false) (scrape: 147, official: 160): 13
Positive offset of 08-2778 (time: 2:43, m?: false) (scrape: 121, official: 129): 8
Positive offset of 08-1144 (time: 5:10, m?: false) (scrape: 139, official: 147): 8
Positive offset of 08-2770 (time: 5:31, m?: false) (scrape: 159, official: 167): 8
Positive offset of 08-0525 (time: 2:44, m?: false) (scrape: 115, official: 123): 8
Positive offset of 08-0576 (time: 3:23, m?: false) (scrape: 70, official: 78): 8
Positive offset of 08-2421 (time: 5:50, m?: false) (scrape: 159, official: 167): 8
Positive offset of 08-0538 (time: 5:51, m?: false) (scrape: 186, official: 194): 8
Positive offset of 08-0231 (time: 5:51, m?: false) (scrape: 99, official: 107): 8
Positive offset of 08-2319 (time: 2:26, m?: false) (scrape: 142, official: 150): 8
Positive offset of 08-2762 (time: 5:11, m?: false) (scrape: 105, official: 113): 8
Positive offset of 08-0369 (time: 4:57, m?: false) (scrape: 68, official: 76): 8
Positive offset of 08-0194 (time: 5:13, m?: false) (scrape: 65, official: 73): 8
Positive offset of 08-0106 (time: 5:13, m?: false) (scrape: 102, official: 115): 13
Positive offset of 08-0670 (time: 5:55, m?: false) (scrape: 159, official: 167): 8
Positive offset of 08-2804 (time: 5:06, m?: false) (scrape: 78, official: 86): 8
Positive offset of 08-0466 (time: 13:32, m?: false) (scrape: 91, official: 99): 8
Positive offset of 08-1446 (time: 43:04, m?: false) (scrape: 88, official: 96): 8
Positive offset of 08-2764 (time: 4:51, m?: false) (scrape: 85, official: 93): 8
Positive offset of 08-0476 (time: 5:45, m?: false) (scrape: 138, official: 146): 8
Positive offset of 08-0698 (time: 5:40, m?: false) (scrape: 133, official: 141): 8
Positive offset of 08-3009 (time: 5:46, m?: false) (scrape: 108, official: 116): 8
Positive offset of 08-3008 (time: 5:39, m?: false) (scrape: 144, official: 152): 8
Positive offset of 08-2656 (time: 3:43, m?: false) (scrape: 84, official: 92): 8
Positive offset of 08-0173 (time: 4:44, m?: false) (scrape: 62, official: 70): 8
Positive offset of 08-2025 (time: 2:41, m?: false) (scrape: 89, official: 97): 8
Positive offset of 08-2024 (time: 2:36, m?: false) (scrape: 89, official: 97): 8
Positive offset of 08-2194 (time: 4:11, m?: false) (scrape: 171, official: 179): 8
Positive offset of 08-0464 (time: 4:25, m?: false) (scrape: 166, official: 174): 8
Positive offset of 08-3316 (time: 5:16, m?: false) (scrape: 119, official: 127): 8
Positive offset of 08-1964 (time: 4:31, m?: false) (scrape: 40, official: 53): 13
Positive offset of 08-2121 (time: 5:44, m?: true) (scrape: 168, official: 176): 8
Positive offset of 08-2415 (time: 3:49, m?: false) (scrape: 86, official: 94): 8
Positive offset of 08-3384 (time: 5:44, m?: false) (scrape: 132, official: 140): 8
Positive offset of 08-2218 (time: 4:53, m?: false) (scrape: 179, official: 187): 8
Positive offset of 08-1136 (time: 6:02, m?: false) (scrape: 149, official: 157): 8
Positive offset of 08-1249 (time: 6:34, m?: false) (scrape: 106, official: 114): 8
Positive offset of 08-2259 (time: 5:51, m?: false) (scrape: 172, official: 180): 8
Positive offset of 08-2757 (time: 5:47, m?: false) (scrape: 162, official: 170): 8
Positive offset of 08-1792 (time: 5:46, m?: false) (scrape: 172, official: 180): 8
Positive offset of 08-1584 (time: 4:30, m?: false) (scrape: 182, official: 190): 8
Negative offset of 08-0957 (time: 7:43, m?: false) (scrape: 48, official: 40): -8
Positive offset of 08-1927 (time: 5:48, m?: false) (scrape: 163, official: 171): 8
Positive offset of 08-1152 (time: 5:39, m?: false) (scrape: 172, official: 180): 8
Positive offset of 08-3187 (time: 5:56, m?: false) (scrape: 95, official: 103): 8
Positive offset of 08-3148 (time: 5:35, m?: false) (scrape: 143, official: 151): 8
Positive offset of 08-3006 (time: 5:48, m?: false) (scrape: 128, official: 136): 8
Positive offset of 08-3005 (time: 5:47, m?: false) (scrape: 131, official: 139): 8
Positive offset of 08-3003 (time: 5:49, m?: false) (scrape: 126, official: 134): 8
Positive offset of 08-3004 (time: 5:43, m?: false) (scrape: 121, official: 129): 8
Positive offset of 08-2590 (time: 5:52, m?: false) (scrape: 94, official: 102): 8
Positive offset of 08-0718 (time: 5:37, m?: false) (scrape: 113, official: 121): 8
Positive offset of 08-1302 (time: 5:59, m?: false) (scrape: 181, official: 189): 8
Positive offset of 08-1462 (time: 4:01, m?: false) (scrape: 164, official: 172): 8
Positive offset of 08-2640 (time: 4:54, m?: false) (scrape: 86, official: 94): 8
Positive offset of 08-0639 (time: 5:57, m?: false) (scrape: 149, official: 157): 8
Positive offset of 08-1293 (time: 4:41, m?: false) (scrape: 27, official: 35): 8
Positive offset of 08-1291 (time: 5:50, m?: false) (scrape: 133, official: 141): 8
Positive offset of 08-1217 (time: 6:03, m?: false) (scrape: 152, official: 160): 8
Positive offset of 08-3091 (time: 5:51, m?: false) (scrape: 96, official: 104): 8
Positive offset of 08-1290 (time: 5:54, m?: false) (scrape: 164, official: 172): 8
Positive offset of 08-0736 (time: 4:23, m?: false) (scrape: 47, official: 55): 8
Positive offset of 08-1148 (time: 5:57, m?: false) (scrape: 187, official: 195): 8
Positive offset of 08-0120 (time: 5:54, m?: false) (scrape: 157, official: 165): 8
Positive offset of 08-1214 (time: 6:03, m?: false) (scrape: 152, official: 160): 8
Positive offset of 08-1015 (time: 5:55, m?: false) (scrape: 175, official: 183): 8
Positive offset of 08-2600 (time: 6:09, m?: false) (scrape: 118, official: 126): 8
Positive offset of 08-0076 (time: 5:51, m?: false) (scrape: 168, official: 176): 8
Positive offset of 08-2598 (time: 6:00, m?: false) (scrape: 83, official: 91): 8
Positive offset of 08-0077 (time: 5:44, m?: false) (scrape: 102, official: 110): 8
Positive offset of 08-0007 (time: 5:58, m?: false) (scrape: 136, official: 144): 8
Positive offset of 08-2599 (time: 6:14, m?: false) (scrape: 140, official: 148): 8
Positive offset of 08-1974 (time: 6:09, m?: false) (scrape: 140, official: 148): 8
Positive offset of 08-1809 (time: 5:01, m?: true) (scrape: 106, official: 119): 13
Positive offset of 08-1808 (time: 4:51, m?: false) (scrape: 132, official: 140): 8
Positive offset of 08-2504 (time: 5:43, m?: false) (scrape: 138, official: 146): 8
Positive offset of 08-0708 (time: 6:33, m?: false) (scrape: 123, official: 131): 8
Positive offset of 08-3345 (time: 5:43, m?: false) (scrape: 110, official: 118): 8
