team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-2642,KS,5:52,178,186,false,false,8
08-1678,ME,5:29,182,190,false,false,8
08-0963,AZ,5:33,175,183,false,false,8
08-3344,FL,5:23,121,129,false,false,8
08-1685,TX,5:23,172,180,false,false,8
08-2741,FL,4:56,140,148,false,false,8
08-3357,AZ,2:36,158,166,false,false,8
08-0774,MD,5:42,162,170,false,false,8
08-1734,IN,5:34,162,170,false,false,8
08-1745,MD,5:58,150,158,false,false,8
08-2682,AL,5:57,178,186,false,false,8
08-1679,ME,5:28,145,153,false,false,8
08-0740,MD,5:51,186,194,false,false,8
08-0472,SC,6:02,141,149,false,true,8
08-0741,MD,5:48,156,164,false,false,8
08-1421,CA,5:48,164,172,false,false,8
08-2095,VA,5:34,96,104,false,false,8
08-2905,NC,4:27,121,129,false,false,8
08-1658,MD,5:55,145,153,false,false,8
08-3084,TX,5:53,148,156,false,false,8
08-3085,TX,6:01,182,190,false,true,8
08-1671,TX,5:53,154,162,false,false,8
08-1499,TX,5:49,153,161,false,false,8
08-2948,TX,6:02,141,149,false,true,8
08-0809,TN,5:29,159,167,false,false,8
08-2134,TN,5:41,164,172,false,false,8
08-1672,TX,4:43,69,77,false,false,8
08-1875,CO,5:54,156,164,false,false,8
08-1649,TX,5:31,112,120,false,false,8
08-3252,TX,6:02,115,123,false,true,8
08-2952,TX,11:42,139,147,false,true,8
08-1073,TX,5:50,168,176,false,false,8
08-0102,TX,5:40,170,178,false,false,8
08-1070,TX,5:44,132,140,false,false,8
08-3328,TX,6:06,151,159,false,true,8
08-0506,KS,5:40,140,148,false,false,8
08-2323,TX,5:50,72,80,false,false,8
08-0916,UT,5:55,169,177,false,false,8
08-2314,VA,5:17,186,194,false,false,8
08-0895,WA,5:57,163,171,false,false,8
08-1817,NJ,4:58,112,120,false,false,8
08-1069,TX,5:41,160,168,false,false,8
08-0402,CA,4:16,86,94,false,false,8
08-0373,WA,6:01,156,152,false,true,-4
08-2517,UT,5:53,170,178,false,false,8
08-1881,TX,6:03,131,139,false,true,8
08-2424,CA,5:26,88,96,false,false,8
08-1647,TX,5:27,119,127,false,false,8
08-1756,WA,5:50,132,140,false,false,8
08-1175,MO,5:04,161,169,false,false,8
08-2492,MO,3:05,124,132,false,false,8
08-0270,LA,5:52,182,190,false,false,8
08-3257,MI,5:56,133,141,false,false,8
08-0041,WA,5:19,135,143,false,false,8
08-0491,TX,5:33,186,194,false,false,8
08-1987,WA,5:18,91,99,false,false,8
08-0400,CA,3:46,89,97,false,false,8
08-3048,WA,5:42,158,166,false,false,8
08-2494,MO,3:40,148,161,false,false,13
08-2493,MO,3:47,119,127,false,false,8
08-1986,WA,5:49,168,176,false,false,8
08-1533,CA,5:44,135,148,false,false,13
08-1463,MT,6:09,151,134,true,false,-17
08-0154,CA,4:57,47,55,false,false,8
08-2491,MO,3:37,92,100,false,false,8
08-0802,WA,5:48,164,169,false,false,5
08-2885,CA,5:50,162,170,false,false,8
08-3256,CA,6:07,136,144,true,false,8
08-1982,CA,4:08,179,187,false,false,8
08-0423,CA,6:02,121,134,false,true,13
08-0773,CA,5:28,169,177,false,false,8
