team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-2426,cap,5:44,120,128,false,false,8
08-2427,cap,5:56,139,147,false,false,8
08-2436,cap,5:53,127,135,false,false,8
08-0171,cap,5:52,132,140,false,false,8
08-3175,cap,3:25,59,67,false,false,8
08-1132,cap,4:40,47,55,false,false,8
08-0547,cap,5:49,152,160,false,false,8
08-3486,afjrotc,5:32,169,177,false,false,8
08-0269,njrotc,5:53,182,190,false,false,8
08-1474,cap,5:36,56,64,false,false,8
08-3123,cap,5:53,105,113,false,false,8
08-0360,cap,5:59,147,155,false,false,8
08-1460,nscc,28:29,134,142,false,true,8
08-1639,cap,5:50,126,134,false,false,8
08-0840,mcjrotc,5:52,166,174,false,false,8
08-3391,cap,5:49,113,126,false,false,13
08-2545,cap,4:43,95,103,false,false,8
08-2814,cap,5:37,127,135,false,false,8
08-1062,mcjrotc,3:27,145,153,false,false,8
08-1168,nscc,5:48,110,118,false,false,8
08-2503,ajrotc,5:32,131,139,false,false,8
08-1687,cap,5:57,168,176,false,false,8
08-0771,cap,5:53,171,179,false,false,8
08-0365,nscc,6:03,146,154,false,true,8
08-1709,cap,5:55,141,149,false,false,8
08-1764,cap,5:47,127,135,false,false,8
08-0864,cap,5:58,139,147,false,false,8
08-2294,cap,33:16,56,64,false,true,8
08-0673,afjrotc,5:57,78,91,false,false,13
08-1934,afjrotc,5:23,54,62,false,false,8
08-0497,cap,6:01,134,147,false,true,13
08-1876,afjrotc,2:51,62,70,false,false,8
08-1855,cap,5:54,103,111,false,false,8
08-1871,njrotc,5:32,127,135,false,false,8
08-0815,cap,5:55,160,168,false,false,8
08-0696,afjrotc,5:35,143,156,false,false,13
08-2892,afjrotc,5:43,165,173,false,false,8
08-1710,cap,5:38,166,174,false,false,8
08-1126,cap,5:43,118,126,false,false,8
08-0161,cap,5:37,176,184,false,false,8
08-0147,mcjrotc,3:07,125,133,false,false,8
08-1282,cap,6:00,167,175,false,false,8
08-0030,cap,5:59,161,169,false,false,8
08-0260,cap,4:40,144,152,false,false,8
08-1218,cap,5:37,175,183,false,false,8
08-1996,afjrotc,6:15,66,74,false,true,8
08-1995,afjrotc,6:29,73,81,false,true,8
08-1384,afjrotc,5:42,100,108,false,false,8
08-1479,njrotc,5:21,121,129,false,false,8
08-3166,cap,4:38,70,78,false,false,8
08-0388,ajrotc,2:38,133,141,false,false,8
08-2383,ajrotc,6:09,143,151,false,true,8
08-0933,njrotc,5:58,141,149,false,false,8
08-0609,cap,3:17,35,43,false,false,8
08-3420,cap,3:00,48,56,false,false,8
08-1892,njrotc,5:50,94,102,false,false,8
08-1968,cap,6:04,57,65,false,true,8
08-0822,cap,5:59,175,183,false,false,8
08-1006,cap,5:59,135,143,false,false,8
08-0569,cap,6:01,140,148,false,true,8
08-1233,cap,5:33,130,138,false,false,8
08-1190,ajrotc,5:58,175,183,false,false,8
08-0258,cap,5:24,156,164,false,false,8
08-1830,cap,4:34,113,121,false,false,8
08-1614,cap,5:17,131,139,false,false,8
08-1131,cap,4:27,75,83,false,false,8
08-1503,afjrotc,3:19,60,68,false,false,8
08-0162,ajrotc,5:29,123,131,false,false,8
08-2442,cap,4:47,182,190,false,false,8
08-2843,ajrotc,5:56,125,133,false,false,8
08-3439,cap,4:58,112,120,false,false,8
08-1469,njrotc,3:04,105,113,false,false,8
08-2234,ajrotc,5:55,186,194,false,false,8
08-0556,afjrotc,5:58,179,187,false,false,8
08-2233,ajrotc,5:53,182,190,false,false,8
08-1356,afjrotc,2:54,108,121,false,false,13
